"to","from","search","tele"
"ALB","ALB",0,0
"ALB","ARM",0,0
"ALB","AUS",0,0
"ALB","AUT",0,2
"ALB","AZE",0,0
"ALB","BLR",0,0
"ALB","BEL",0,0
"ALB","BGR",0,0
"ALB","HRV",0,4
"ALB","CYP",0,0
"ALB","CZE",0,0
"ALB","DNK",0,0
"ALB","EST",0,0
"ALB","FIN",0,0
"ALB","FRA",0,0
"ALB","GEO",0,0
"ALB","DEU",0,0
"ALB","GRC",6,10
"ALB","HUN",0,0
"ALB","ISL",0,0
"ALB","IRL",0,0
"ALB","ISR",0,0
"ALB","ITA",10,12
"ALB","LVA",0,0
"ALB","LTU",0,0
"ALB","MLT",0,0
"ALB","MDA",0,0
"ALB","MNE",4,10
"ALB","NLD",0,0
"ALB","MKD",10,12
"ALB","NOR",0,0
"ALB","POL",0,0
"ALB","PRT",0,0
"ALB","ROU",0,0
"ALB","RUS",0,0
"ALB","SMR",7,0
"ALB","SRB",0,0
"ALB","SVN",0,1
"ALB","ESP",0,0
"ALB","SWE",0,0
"ALB","CHE",2,7
"ALB","UKR",0,0
"ALB","GBR",0,0
"AUS","ALB",0,0
"AUS","ARM",0,0
"AUS","AUS",0,0
"AUS","AUT",0,0
"AUS","AZE",0,0
"AUS","BLR",0,0
"AUS","BEL",0,0
"AUS","BGR",0,0
"AUS","HRV",0,0
"AUS","CYP",0,0
"AUS","CZE",0,0
"AUS","DNK",2,2
"AUS","EST",0,0
"AUS","FIN",2,0
"AUS","FRA",0,0
"AUS","GEO",1,0
"AUS","DEU",0,0
"AUS","GRC",0,0
"AUS","HUN",0,0
"AUS","ISL",0,0
"AUS","IRL",5,0
"AUS","ISR",0,0
"AUS","ITA",0,0
"AUS","LVA",0,0
"AUS","LTU",4,0
"AUS","MLT",2,6
"AUS","MDA",0,0
"AUS","MNE",0,0
"AUS","NLD",4,0
"AUS","MKD",0,0
"AUS","NOR",6,0
"AUS","POL",3,0
"AUS","PRT",0,0
"AUS","ROU",0,0
"AUS","RUS",0,0
"AUS","SMR",0,0
"AUS","SRB",0,0
"AUS","SVN",0,0
"AUS","ESP",0,0
"AUS","SWE",3,0
"AUS","CHE",0,0
"AUS","UKR",0,0
"AUS","GBR",5,1
"AUT","ALB",0,2
"AUT","ARM",4,6
"AUT","AUS",1,0
