"from","to","search","tele"
"ALB","NLD",5,0
"ALB","RUS",6,0
"ALB","ITA",0,0
"ALB","FRA",10,0
"ALB","ISL",0,0
"ALB","CYP",12,0
"ALB","CHE",2,0
"ALB","AZE",0,0
"ALB","BLR",0,0
"ALB","POL",0,0
"ALB","FIN",0,0
"ALB","HUN",0,0
"ALB","HRV",0,0
"ALB","GRC",8,0
"ALB","SWE",0,0
"ALB","ESP",0,0
"ALB","SRB",0,0
"ALB","DEU",7,0
"ALB","EST",0,0
"ALB","PRT",0,0
"ALB","GBR",0,0
"ALB","MKD",0,0
"ALB","BEL",0,0
"ALB","ARM",0,0
"ALB","ALB",0,0
"ALB","ROU",0,0
"ALB","IRL",0,0
"ALB","LTU",0,0
"ALB","NOR",0,0
"ALB","MLT",0,0
"ALB","ISR",4,0
"ALB","CZE",3,0
"ALB","MDA",0,0
"ALB","SMR",1,0
"ALB","SVN",0,0
"ALB","AUS",0,0
"ALB","DNK",0,0
"ALB","AUT",0,0
"ALB","LVA",0,0
"ALB","MNE",0,0
"ALB","GEO",0,0
"ARM","NLD",10,0
"ARM","RUS",12,0
"ARM","ITA",5,0
"ARM","FRA",8,0
"ARM","ISL",3,0
"ARM","CYP",6,0
"ARM","CHE",2,0
"ARM","AZE",0,0
"ARM","BLR",0,0
"ARM","POL",0,0
"ARM","FIN",0,0
"ARM","HUN",7,0
"ARM","HRV",0,0
"ARM","GRC",0,0
"ARM","SWE",4,0
"ARM","ESP",0,0
"ARM","SRB",0,0
"ARM","DEU",0,0
"ARM","EST",0,0
"ARM","PRT",0,0
"ARM","GBR",0,0
"ARM","MKD",0,0
"ARM","BEL",0,0
"ARM","ARM",0,0
"ARM","ALB",0,0
"ARM","ROU",0,0
"ARM","IRL",0,0
"ARM","LTU",0,0
"ARM","NOR",0,0
"ARM","MLT",0,0
"ARM","ISR",0,0
"ARM","CZE",0,0
"ARM","MDA",0,0
"ARM","SMR",0,0
"ARM","SVN",0,0
"ARM","AUS",0,0
"ARM","DNK",0,0
"ARM","AUT",0,0
"ARM","LVA",0,0
"ARM","MNE",0,0
"ARM","GEO",0,0
"AUS","NLD",10,0
"AUS","RUS",7,0
"AUS","ITA",6,0
"AUS","FRA",4,0
"AUS","ISL",12,0
"AUS","CYP",3,0
"AUS","CHE",0,0
"AUS","AZE",2,0
"AUS","BLR",0,0
"AUS","POL",0,0
"AUS","FIN",8,0
"AUS","HUN",0,0
"AUS","HRV",0,0
"AUS","GRC",5,0
"AUS","SWE",0,0
"AUS","ESP",0,0
"AUS","SRB",0,0
"AUS","DEU",0,0
"AUS","EST",0,0
"AUS","PRT",0,0
"AUS","GBR",0,0
"AUS","MKD",0,0
"AUS","BEL",0,0
"AUS","ARM",0,0
"AUS","ALB",0,0
"AUS","ROU",0,0
"AUS","IRL",0,0
"AUS","LTU",0,0
"AUS","NOR",0,0
"AUS","MLT",0,0
"AUS","ISR",0,0
"AUS","CZE",1,0
"AUS","MDA",0,0
"AUS","SMR",0,0
"AUS","SVN",0,0
"AUS","AUS",0,0
"AUS","DNK",0,0
"AUS","AUT",0,0
"AUS","LVA",0,0
"AUS","MNE",0,0
"AUS","GEO",0,0
"AUT","NLD",6,0
"AUT","RUS",8,0
"AUT","ITA",7,0
"AUT","FRA",3,0
"AUT","ISL",4,0
"AUT","CYP",0,0
"AUT","CHE",12,0
"AUT","AZE",0,0
"AUT","BLR",0,0
"AUT","POL",2,0
"AUT","FIN",1,0
"AUT","HUN",0,0
"AUT","HRV",5,0
"AUT","GRC",0,0
"AUT","SWE",0,0
"AUT","ESP",0,0
"AUT","SRB",0,0
"AUT","DEU",10,0
"AUT","EST",0,0
"AUT","PRT",0,0
"AUT","GBR",0,0
"AUT","MKD",0,0
"AUT","BEL",0,0
"AUT","ARM",0,0
"AUT","ALB",0,0
"AUT","ROU",0,0
"AUT","IRL",0,0
"AUT","LTU",0,0
"AUT","NOR",0,0
"AUT","MLT",0,0
"AUT","ISR",0,0
"AUT","CZE",0,0
"AUT","MDA",0,0
"AUT","SMR",0,0
"AUT","SVN",0,0
"AUT","AUS",0,0
"AUT","DNK",0,0
"AUT","AUT",0,0
"AUT","LVA",0,0
"AUT","MNE",0,0
"AUT","GEO",0,0
"AZE","NLD",10,0
"AZE","RUS",12,0
"AZE","ITA",8,0
"AZE","FRA",5,0
"AZE","ISL",0,0
"AZE","CYP",6,0
"AZE","CHE",0,0
"AZE","AZE",0,0
"AZE","BLR",7,0
"AZE","POL",2,0
"AZE","FIN",0,0
"AZE","HUN",0,0
"AZE","HRV",0,0
"AZE","GRC",0,0
"AZE","SWE",0,0
"AZE","ESP",1,0
"AZE","SRB",0,0
"AZE","DEU",0,0
"AZE","EST",0,0
"AZE","PRT",0,0
"AZE","GBR",0,0
"AZE","MKD",0,0
"AZE","BEL",0,0
"AZE","ARM",3,0
"AZE","ALB",0,0
"AZE","ROU",0,0
"AZE","IRL",0,0
"AZE","LTU",0,0
"AZE","NOR",0,0
"AZE","MLT",0,0
"AZE","ISR",0,0
"AZE","CZE",0,0
"AZE","MDA",0,0
"AZE","SMR",4,0
"AZE","SVN",0,0
"AZE","AUS",0,0
"AZE","DNK",0,0
"AZE","AUT",0,0
"AZE","LVA",0,0
"AZE","MNE",0,0
"AZE","GEO",0,0
"BLR","NLD",10,0
"BLR","RUS",12,0
"BLR","ITA",7,0
"BLR","FRA",8,0
"BLR","ISL",6,0
"BLR","CYP",4,0
